Item,Perishability_Type,Season,Mandi_Location,Wholesale_Base_Price,Temperature_C,Rainfall_MM,Fuel_Price_PKR,Distance_KM,Arrival_Trucks,Demand_Index,Spoilage_Risk,Retail_Price_PKR
Tomato,High,Summer,Quetta Satellite Town Mandi,116,41.6,32.2,272.5,741,49,4,High,199.03
Guava (Amrood),High,Monsoon,Lahore Badami Bagh,127,36.5,64.5,284.5,112,107,4,High,178.25
Orange (Kinnow),Medium,Winter,Karachi Sabzi Mandi,196,5.5,5.7,272.5,245,24,5,Low,210.81
Turnip (Shalgam),Medium,Monsoon,Sukkur Grain Market,56,34.0,81.8,305.0,98,50,1,Medium,70.72
Mint (Pudina),High,Winter,Karachi Sabzi Mandi,52,12.8,0.5,305.0,462,60,2,Low,81.5
Sarda,Medium,Spring,Quetta Satellite Town Mandi,117,22.7,9.3,278.0,373,102,4,Low,138.78
Mango (Anwar Ratol),High,Winter,Gujranwala Fruit Market,337,17.5,19.4,305.0,148,38,5,Low,346.98
Peas (Matar),High,Winter,Karachi Sabzi Mandi,215,9.7,15.8,292.0,366,61,3,Low,237.48
Mulberry (Shahtoot),High,Monsoon,Faisalabad Grain Market,227,26.6,91.0,278.0,214,31,2,Medium,273.73
Garlic Sprouts,Medium,Monsoon,Gujranwala Fruit Market,200,27.2,97.1,305.0,145,82,5,Medium,239.48
Cherry,High,Winter,Sukkur Grain Market,850,12.3,7.5,284.5,254,81,5,Low,865.33
Mango (Dusehri),High,Monsoon,Quetta Satellite Town Mandi,207,30.5,47.2,284.5,573,83,3,Medium,272.17
Lotus Stem (Bheen),Low,Winter,Peshawar Central Mandi,166,7.8,24.2,292.0,305,32,1,Medium,209.59
Kiwi (Imported),Medium,Spring,Peshawar Central Mandi,1143,23.8,14.2,278.0,445,47,4,Low,1169.15
Orange (Kinnow),Medium,Spring,Lahore Badami Bagh,283,25.6,14.5,292.0,366,47,3,Low,305.55
Jamun,High,Summer,Multan Goods Market,289,36.4,5.6,305.0,207,78,5,Medium,345.79
Eggplant (Baingan),Medium,Monsoon,Karachi Sabzi Mandi,92,33.6,99.9,272.5,1070,42,1,High,185.05
Mosambi (Sweet Lime),Medium,Winter,Rawalpindi Raja Bazar,280,18.6,0.1,305.0,298,62,5,Low,299.29
Mosambi (Sweet Lime),Medium,Spring,Multan Goods Market,214,18.8,27.0,272.5,126,28,2,Medium,253.56
Colocasia Leaves,High,Summer,Multan Goods Market,82,41.4,38.3,292.0,206,9,2,High,124.13
Mosambi (Sweet Lime),Medium,Summer,Gujranwala Fruit Market,175,37.8,16.7,305.0,326,51,1,Low,195.8
Apple (Kala Kulu),Low,Winter,Faisalabad Grain Market,298,8.2,3.6,278.0,248,19,5,Low,313.49
Banana (Sindhi),High,Summer,Sukkur Grain Market,150,36.8,0.6,292.0,253,57,4,Medium,188.2
Guava (Amrood),High,Summer,Peshawar Central Mandi,111,39.2,33.9,272.5,444,34,2,High,175.31
Onion,Low,Winter,Hyderabad New Mandi,134,7.8,2.4,272.5,232,101,4,Low,147.35
Rambutan (Imported),High,Summer,Faisalabad Grain Market,768,47.5,5.2,272.5,305,22,4,Medium,901.3
Apple (Kala Kulu),Low,Summer,Sukkur Grain Market,474,39.5,32.4,284.5,49,95,4,Medium,548.19
Green Chilies,High,Winter,Peshawar Central Mandi,252,6.5,21.0,284.5,657,64,1,Medium,328.81
Turnip (Shalgam),Medium,Winter,Hyderabad New Mandi,37,12.0,8.3,292.0,107,83,5,Low,43.78
Watermelon (Tarbooz),Medium,Spring,Karachi Sabzi Mandi,48,28.4,18.7,272.5,779,47,1,Medium,99.52
Drumstick (Sohanjna),Medium,Summer,Islamabad Sabzi Mandi,289,41.1,20.2,272.5,498,24,3,Medium,361.16
Mustard Greens (Sarson),High,Spring,Quetta Satellite Town Mandi,74,21.3,9.1,284.5,252,37,2,Low,89.17
Garlic (Local),Low,Spring,Islamabad Sabzi Mandi,469,19.1,7.3,305.0,255,89,4,Low,485.4
Mulberry (Shahtoot),High,Monsoon,Faisalabad Grain Market,300,29.3,44.7,272.5,226,59,5,Medium,358.21
Orange (Kinnow),Medium,Winter,Lahore Badami Bagh,170,4.0,6.8,305.0,437,47,4,Low,198.14
Ridge Gourd (Tori),High,Monsoon,Faisalabad Grain Market,148,34.1,54.7,272.5,292,25,1,High,216.55
Cauliflower,Medium,Winter,Gujranwala Fruit Market,74,11.4,12.7,278.0,326,71,5,Low,93.19
Loquat,High,Monsoon,Hyderabad New Mandi,168,36.0,88.7,305.0,63,106,3,High,230.93
Apple (Golden),Low,Winter,Hyderabad New Mandi,192,18.5,15.7,284.5,236,82,1,Low,206.04
Tomato,High,Summer,Karachi Sabzi Mandi,170,30.5,15.3,278.0,991,45,5,Medium,253.38
Chiku (Sapodilla),High,Summer,Islamabad Sabzi Mandi,128,42.6,19.0,305.0,404,33,2,Medium,173.14
Kiwi (Imported),Medium,Spring,Karachi Sabzi Mandi,1243,23.0,20.1,278.0,375,88,1,Medium,1451.22
Orange (Kinnow),Medium,Monsoon,Islamabad Sabzi Mandi,287,29.4,112.7,284.5,222,18,5,Medium,344.39
Pomegranate (Kandhari),Low,Spring,Hyderabad New Mandi,456,23.0,18.9,284.5,99,6,5,Low,465.08
Lettuce,High,Monsoon,Faisalabad Grain Market,167,37.8,102.8,278.0,295,28,3,High,243.0
Red Chili (Fresh),High,Winter,Lahore Badami Bagh,345,11.6,21.5,278.0,318,105,5,Medium,415.38
Colocasia Leaves,High,Winter,Hyderabad New Mandi,68,12.1,11.0,284.5,228,25,5,Low,82.38
Spring Onion,High,Monsoon,Multan Goods Market,71,36.5,42.2,278.0,146,31,4,High,104.87
Strawberry,High,Monsoon,Peshawar Central Mandi,403,30.9,67.4,272.5,686,8,3,High,584.49
Lychee,High,Summer,Islamabad Sabzi Mandi,336,42.9,0.5,292.0,168,37,1,Medium,396.74
Beetroot (Chukandar),Medium,Monsoon,Islamabad Sabzi Mandi,107,33.9,67.7,305.0,190,50,3,Medium,135.39
Green Chickpeas (Chholia),High,Summer,Gujranwala Fruit Market,306,31.8,39.2,284.5,264,79,3,Medium,367.72
Garlic (Local),Low,Monsoon,Karachi Sabzi Mandi,471,28.5,67.9,292.0,735,60,2,High,680.71
Tomato,High,Summer,Quetta Satellite Town Mandi,93,33.7,26.5,272.5,787,5,5,Medium,155.38
Ginger,Low,Spring,Sukkur Grain Market,565,27.4,25.8,284.5,53,87,4,Medium,653.1
Banana (Dhaka),High,Summer,Quetta Satellite Town Mandi,134,35.6,21.0,292.0,810,31,5,High,230.88
Garlic (Local),Low,Spring,Gujranwala Fruit Market,339,26.0,18.9,292.0,266,59,1,Low,355.26
Banana (Dhaka),High,Summer,Sukkur Grain Market,145,42.9,30.8,272.5,41,92,2,High,198.17
Avocado,Medium,Winter,Hyderabad New Mandi,1050,3.8,4.2,305.0,150,56,5,Low,1059.93
Grapefruit,Medium,Summer,Islamabad Sabzi Mandi,204,43.2,19.1,278.0,438,61,3,Medium,260.19
Mustard Greens (Sarson),High,Monsoon,Rawalpindi Raja Bazar,67,31.1,76.4,278.0,621,63,5,High,126.77
Loquat,High,Spring,Lahore Badami Bagh,112,22.5,17.7,284.5,419,75,5,Low,137.13
Lettuce,High,Monsoon,Multan Goods Market,135,29.9,90.9,284.5,133,44,3,Medium,163.43
Coriander (Dhania),High,Monsoon,Faisalabad Grain Market,109,28.4,100.6,305.0,69,10,1,Medium,130.14
Melon (Kharbooza),Medium,Winter,Faisalabad Grain Market,72,16.1,14.5,272.5,117,63,5,Low,78.99
Mosambi (Sweet Lime),Medium,Summer,Quetta Satellite Town Mandi,118,36.6,0.6,278.0,699,62,4,Medium,176.47
Wild Plum (Jaman),High,Winter,Quetta Satellite Town Mandi,237,4.2,2.0,278.0,283,53,1,Low,253.47
Ridge Gourd (Tori),High,Summer,Sukkur Grain Market,59,30.2,28.9,278.0,115,77,3,Medium,74.68
Custard Apple (Sharifa),High,Monsoon,Gujranwala Fruit Market,435,37.5,40.9,272.5,136,92,5,High,595.21
Mushroom (Button),High,Summer,Islamabad Sabzi Mandi,443,32.0,34.4,292.0,157,35,4,Medium,519.5
Eggplant (Baingan),Medium,Winter,Karachi Sabzi Mandi,102,14.4,10.1,272.5,863,83,2,Medium,166.4
Pomegranate (Bedana),Low,Spring,Faisalabad Grain Market,508,29.9,17.2,284.5,327,5,3,Low,529.63
Strawberry,High,Winter,Islamabad Sabzi Mandi,660,14.1,16.3,272.5,526,81,4,Medium,789.08
Dates (Rabai),Low,Winter,Sukkur Grain Market,565,6.0,12.2,278.0,291,6,1,Low,582.5
Mosambi (Sweet Lime),Medium,Winter,Multan Goods Market,194,5.9,12.7,272.5,157,88,4,Low,203.12
Cluster Beans (Gwar),Medium,Spring,Lahore Badami Bagh,177,18.4,11.5,278.0,459,18,4,Low,204.53
Coconut (Fresh),Low,Monsoon,Lahore Badami Bagh,251,30.5,63.3,278.0,143,19,4,Medium,297.83
Jamun,High,Winter,Faisalabad Grain Market,391,3.4,19.3,292.0,178,101,2,Low,401.92
Persimmon (Amlok),Medium,Winter,Rawalpindi Raja Bazar,140,9.6,20.3,278.0,216,29,2,Medium,173.81
Apple (Golden),Low,Winter,Gujranwala Fruit Market,244,17.0,5.3,305.0,392,34,1,Low,269.04
Zucchini,Medium,Spring,Faisalabad Grain Market,127,23.1,21.6,305.0,121,89,4,Medium,153.94
Tinda,High,Spring,Multan Goods Market,159,24.0,25.7,272.5,164,52,3,Medium,192.42
Mulberry (Shahtoot),High,Spring,Rawalpindi Raja Bazar,121,24.9,18.9,278.0,588,57,5,Medium,173.59
Orange (Kinnow),Medium,Monsoon,Peshawar Central Mandi,149,35.4,49.8,284.5,507,32,1,Medium,201.54
Raw Mango (Keri),Medium,Summer,Hyderabad New Mandi,98,40.5,3.4,305.0,42,12,1,Medium,115.71
Yellow Bell Pepper,High,Monsoon,Quetta Satellite Town Mandi,293,29.1,57.0,305.0,238,95,4,Medium,352.26
Eggplant (Baingan),Medium,Monsoon,Quetta Satellite Town Mandi,58,32.8,107.5,278.0,359,50,5,Medium,87.93
Celery,High,Monsoon,Rawalpindi Raja Bazar,190,27.6,101.5,305.0,379,20,4,Medium,243.44
Peach (Aroo),High,Summer,Faisalabad Grain Market,187,32.6,7.6,292.0,113,35,5,Low,194.5
Mulberry (Shahtoot),High,Winter,Quetta Satellite Town Mandi,313,18.5,0.2,284.5,845,9,4,Medium,411.83
Pomegranate (Kandhari),Low,Spring,Sukkur Grain Market,667,20.4,6.5,284.5,143,46,3,Low,675.76
Cauliflower,Medium,Monsoon,Islamabad Sabzi Mandi,95,29.4,69.1,278.0,511,51,2,High,158.02
Fig (Anjeer Fresh),High,Spring,Quetta Satellite Town Mandi,487,19.2,14.1,292.0,535,47,1,Medium,592.69
Potato,Low,Spring,Lahore Badami Bagh,72,22.8,18.7,278.0,296,23,4,Low,89.89
Red Chili (Fresh),High,Spring,Quetta Satellite Town Mandi,369,28.4,8.9,305.0,675,71,2,Medium,467.37
Fig (Anjeer Fresh),High,Winter,Peshawar Central Mandi,541,11.8,9.3,278.0,607,86,4,Medium,657.51
Grapefruit,Medium,Spring,Gujranwala Fruit Market,102,18.5,24.6,292.0,198,43,1,Medium,129.45
Ladyfinger (Bhindi),High,Spring,Rawalpindi Raja Bazar,107,25.6,0.1,305.0,643,90,2,Medium,164.01
Lychee,High,Winter,Islamabad Sabzi Mandi,451,6.5,7.7,305.0,541,54,5,Medium,553.44
Red Chili (Fresh),High,Spring,Peshawar Central Mandi,380,27.7,22.8,284.5,530,74,2,Medium,468.53
Spring Onion,High,Summer,Lahore Badami Bagh,100,37.1,6.3,292.0,230,59,4,Medium,129.29
Spring Onion,High,Summer,Faisalabad Grain Market,100,36.9,32.4,305.0,90,93,1,High,140.77
Mint (Pudina),High,Monsoon,Hyderabad New Mandi,68,31.4,49.3,305.0,179,5,3,Medium,91.82
Garlic (China),Low,Summer,Lahore Badami Bagh,647,30.7,13.3,305.0,100,46,1,Low,653.45
Raw Mango (Keri),Medium,Summer,Rawalpindi Raja Bazar,68,32.7,29.8,292.0,552,108,2,Medium,111.86
Capsicum (Shimla Mirch),High,Summer,Rawalpindi Raja Bazar,103,35.0,35.1,292.0,174,44,1,High,149.74
Green Chilies,High,Winter,Rawalpindi Raja Bazar,307,13.1,9.8,278.0,257,46,1,Low,321.98
Watermelon (Tarbooz),Medium,Summer,Peshawar Central Mandi,35,41.0,11.8,305.0,233,49,3,Medium,55.33
Pomegranate (Bedana),Low,Spring,Rawalpindi Raja Bazar,790,19.7,28.9,284.5,608,109,2,Medium,944.62
Bitter Gourd (Karela),High,Monsoon,Sukkur Grain Market,171,32.8,40.6,272.5,346,106,1,Medium,216.33
Coriander (Dhania),High,Spring,Gujranwala Fruit Market,68,21.7,4.8,292.0,165,8,4,Low,80.04
Mint (Pudina),High,Spring,Gujranwala Fruit Market,57,21.1,1.7,284.5,102,109,1,Low,63.09
Mushroom (Button),High,Summer,Gujranwala Fruit Market,328,34.4,27.3,284.5,306,91,1,High,460.99
Cucumber (Kheera),High,Monsoon,Rawalpindi Raja Bazar,57,35.8,67.8,272.5,404,49,2,High,100.07
Mosambi (Sweet Lime),Medium,Spring,Gujranwala Fruit Market,288,24.3,1.3,292.0,318,60,1,Low,307.42
Fig (Anjeer Fresh),High,Monsoon,Karachi Sabzi Mandi,291,27.1,84.2,292.0,156,74,5,Medium,344.44
Sweet Potato (Shakarkandi),Low,Summer,Quetta Satellite Town Mandi,59,45.1,3.5,278.0,329,75,5,Medium,87.2
Pineapple,Low,Spring,Quetta Satellite Town Mandi,471,23.0,29.1,292.0,384,26,2,Medium,565.34
Lettuce,High,Winter,Rawalpindi Raja Bazar,104,15.3,4.9,284.5,182,68,2,Low,114.92
Dates (Aseel),Low,Spring,Multan Goods Market,530,21.4,28.4,278.0,114,10,1,Medium,616.51
Cherry,High,Spring,Peshawar Central Mandi,860,20.7,13.2,305.0,273,9,2,Low,878.25
Spring Onion,High,Monsoon,Hyderabad New Mandi,67,30.3,79.2,292.0,273,92,3,Medium,93.8
Peach (Aroo),High,Monsoon,Peshawar Central Mandi,202,28.8,93.5,278.0,360,68,4,Medium,253.41
Pineapple,Low,Monsoon,Karachi Sabzi Mandi,408,28.8,88.2,272.5,1037,100,5,High,609.89
Rambutan (Imported),High,Summer,Peshawar Central Mandi,1153,36.4,10.1,305.0,213,48,4,Medium,1339.85
Colocasia Leaves,High,Monsoon,Karachi Sabzi Mandi,66,34.3,117.2,272.5,152,24,1,High,97.91
Strawberry,High,Summer,Karachi Sabzi Mandi,330,45.6,3.5,272.5,453,96,5,Medium,405.45
Onion,Low,Monsoon,Peshawar Central Mandi,145,31.5,95.6,284.5,300,82,2,Medium,184.64
Potato,Low,Winter,Hyderabad New Mandi,61,12.1,18.2,292.0,236,105,4,Low,75.53
Garlic (China),Low,Monsoon,Karachi Sabzi Mandi,660,37.7,67.4,284.5,841,89,4,High,941.05
Loquat,High,Summer,Gujranwala Fruit Market,181,43.9,3.8,284.5,290,35,3,Medium,225.71
Ridge Gourd (Tori),High,Summer,Islamabad Sabzi Mandi,76,45.7,31.1,278.0,242,41,4,High,117.04
Arbi (Taro Root),Medium,Spring,Islamabad Sabzi Mandi,167,24.3,24.6,278.0,312,84,1,Medium,210.17
Cauliflower,Medium,Monsoon,Faisalabad Grain Market,89,34.0,84.2,305.0,237,103,5,Medium,117.63
Falsa,High,Summer,Rawalpindi Raja Bazar,346,47.0,5.2,284.5,400,16,3,Medium,422.4
Eggplant (Baingan),Medium,Spring,Lahore Badami Bagh,128,29.9,4.6,292.0,152,41,2,Low,137.46
Loquat,High,Winter,Gujranwala Fruit Market,279,10.6,5.8,272.5,141,47,3,Low,287.29
Lotus Stem (Bheen),Low,Summer,Gujranwala Fruit Market,148,34.9,25.3,284.5,167,90,5,Medium,180.35
Papaya,High,Monsoon,Lahore Badami Bagh,167,26.4,115.3,278.0,307,72,1,Medium,209.89
Apple (Kala Kulu),Low,Winter,Rawalpindi Raja Bazar,213,7.0,6.8,305.0,591,22,5,Medium,283.48
Grapefruit,Medium,Summer,Islamabad Sabzi Mandi,157,45.5,30.6,272.5,589,84,3,High,245.55
Wood Apple (Bael),Low,Monsoon,Hyderabad New Mandi,111,34.1,51.7,272.5,56,85,1,Medium,130.88
Apple (Garcha),Low,Summer,Karachi Sabzi Mandi,201,43.9,14.4,278.0,986,29,5,Medium,289.01
Wood Apple (Bael),Low,Monsoon,Lahore Badami Bagh,255,37.9,93.7,305.0,271,76,5,Medium,310.76
Garlic (Local),Low,Spring,Hyderabad New Mandi,498,28.0,22.0,284.5,69,63,4,Medium,577.07
Dragon Fruit,Medium,Summer,Faisalabad Grain Market,1185,40.7,28.7,284.5,190,62,2,Medium,1374.15
Rambutan (Imported),High,Summer,Karachi Sabzi Mandi,1108,40.8,2.0,284.5,537,94,1,High,1527.68
Cucumber (Kheera),High,Winter,Peshawar Central Mandi,97,8.2,7.9,272.5,322,57,3,Low,115.51
Eggplant (Baingan),Medium,Spring,Gujranwala Fruit Market,124,26.6,17.3,292.0,308,88,2,Low,142.84
Broccoli,High,Winter,Karachi Sabzi Mandi,216,13.0,21.2,272.5,969,93,4,Medium,303.6
Yellow Bell Pepper,High,Summer,Peshawar Central Mandi,532,39.5,8.7,305.0,534,92,3,High,752.28
Beetroot (Chukandar),Medium,Spring,Islamabad Sabzi Mandi,143,18.1,4.8,278.0,312,17,2,Low,161.57
Bottle Gourd (Lauki),Medium,Monsoon,Peshawar Central Mandi,58,26.4,59.0,292.0,196,13,1,Medium,78.94
Lemon (China),Medium,Spring,Sukkur Grain Market,231,25.6,4.5,272.5,332,72,1,Low,249.91
Pomegranate (Kandhari),Low,Spring,Peshawar Central Mandi,718,19.0,29.1,278.0,642,22,4,Medium,863.67
Mango (Dusehri),High,Monsoon,Multan Goods Market,254,38.0,91.0,278.0,92,20,3,High,348.87
Dates (Aseel),Low,Summer,Lahore Badami Bagh,384,32.0,32.9,292.0,100,9,2,Medium,448.58
Capsicum (Shimla Mirch),High,Summer,Karachi Sabzi Mandi,149,39.7,7.3,272.5,575,14,4,High,234.99
Plum (Aloo Bukhara),High,Winter,Lahore Badami Bagh,334,12.4,1.0,272.5,224,96,5,Low,346.95
Lotus Stem (Bheen),Low,Summer,Sukkur Grain Market,177,47.5,33.0,278.0,337,49,3,Medium,223.34
Celery,High,Summer,Karachi Sabzi Mandi,139,34.7,16.8,292.0,819,58,4,High,237.78
Mosambi (Sweet Lime),Medium,Monsoon,Gujranwala Fruit Market,193,30.7,108.9,284.5,244,35,3,Medium,236.79
Mango (Sindhri),High,Winter,Quetta Satellite Town Mandi,275,8.4,1.2,272.5,495,37,5,Low,303.69
Ginger,Low,Spring,Lahore Badami Bagh,835,20.6,6.5,272.5,378,87,5,Low,856.72
Capsicum (Shimla Mirch),High,Winter,Lahore Badami Bagh,123,19.1,23.1,305.0,458,4,2,Medium,172.35
Capsicum (Shimla Mirch),High,Summer,Gujranwala Fruit Market,237,35.4,0.1,278.0,113,85,4,Medium,279.3
Lettuce,High,Winter,Karachi Sabzi Mandi,67,11.3,19.9,305.0,1095,89,1,Medium,146.68
Chiku (Sapodilla),High,Spring,Gujranwala Fruit Market,174,21.2,13.2,292.0,230,65,4,Low,188.26
Red Bell Pepper,High,Monsoon,Sukkur Grain Market,310,28.1,66.2,278.0,279,78,1,Medium,372.72
Mosambi (Sweet Lime),Medium,Summer,Hyderabad New Mandi,144,43.7,17.1,284.5,289,82,1,Medium,182.78
Sweet Melon (Garma),Medium,Summer,Peshawar Central Mandi,62,38.1,31.6,292.0,592,84,4,High,119.93
Kiwi (Imported),Medium,Spring,Gujranwala Fruit Market,1262,27.2,5.6,278.0,231,26,2,Low,1275.71
Mulberry (Shahtoot),High,Monsoon,Sukkur Grain Market,258,31.0,107.9,278.0,242,81,1,Medium,310.77
Mosambi (Sweet Lime),Medium,Winter,Karachi Sabzi Mandi,213,10.2,16.5,305.0,591,91,2,Medium,282.6
Sweet Lime (Malta),Medium,Spring,Islamabad Sabzi Mandi,204,21.7,1.8,284.5,476,21,2,Low,232.62
Potato,Low,Winter,Gujranwala Fruit Market,43,5.0,10.0,284.5,91,70,5,Low,48.71
Arbi (Taro Root),Medium,Monsoon,Rawalpindi Raja Bazar,158,30.2,111.7,292.0,633,64,2,High,251.95
Mosambi (Sweet Lime),Medium,Monsoon,Gujranwala Fruit Market,197,32.5,90.2,272.5,191,61,3,Medium,237.61
Papaya,High,Monsoon,Lahore Badami Bagh,155,34.3,82.5,305.0,149,74,5,High,219.02
Onion,Low,Monsoon,Hyderabad New Mandi,173,35.2,102.6,305.0,278,21,4,Medium,217.43
Grapes (Black),High,Winter,Multan Goods Market,441,8.3,2.1,272.5,220,79,5,Low,453.77
Pomegranate (Bedana),Low,Spring,Gujranwala Fruit Market,761,29.8,19.3,305.0,122,93,1,Low,768.8
Arbi (Taro Root),Medium,Spring,Quetta Satellite Town Mandi,190,26.5,22.7,272.5,304,59,3,Medium,235.98
Cauliflower,Medium,Winter,Rawalpindi Raja Bazar,76,13.0,11.8,292.0,523,46,1,Medium,119.31
Mosambi (Sweet Lime),Medium,Monsoon,Sukkur Grain Market,234,37.8,98.2,278.0,287,52,4,Medium,286.06
Sweet Potato (Shakarkandi),Low,Monsoon,Islamabad Sabzi Mandi,75,36.2,75.2,278.0,200,66,4,Medium,98.1
Sweet Lime (Malta),Medium,Summer,Gujranwala Fruit Market,179,46.3,29.3,284.5,281,5,1,Medium,223.26
Apple (Kala Kulu),Low,Summer,Peshawar Central Mandi,491,43.4,3.5,305.0,599,91,1,Medium,602.76
Lettuce,High,Winter,Peshawar Central Mandi,62,13.1,8.4,305.0,388,11,4,Low,88.15
Zucchini,Medium,Spring,Rawalpindi Raja Bazar,176,26.0,17.0,305.0,310,21,3,Low,196.31
Falsa,High,Summer,Lahore Badami Bagh,253,32.0,21.2,278.0,448,23,5,Medium,317.83
Mango (Dusehri),High,Summer,Faisalabad Grain Market,141,38.1,31.1,278.0,152,60,4,High,199.45
Lemon (China),Medium,Spring,Lahore Badami Bagh,117,24.0,14.4,278.0,492,23,5,Low,146.43
Wood Apple (Bael),Low,Summer,Rawalpindi Raja Bazar,121,43.0,26.7,284.5,221,108,3,Medium,152.37
Fig (Anjeer Fresh),High,Spring,Lahore Badami Bagh,575,29.9,10.6,272.5,454,10,4,Low,602.41
Apple (Garcha),Low,Winter,Peshawar Central Mandi,227,14.4,4.2,272.5,377,18,5,Low,249.59
Mosambi (Sweet Lime),Medium,Summer,Hyderabad New Mandi,99,44.5,31.4,305.0,163,42,2,Medium,124.42
Mango (Anwar Ratol),High,Monsoon,Faisalabad Grain Market,396,34.7,49.5,272.5,220,61,5,High,547.45
Apple (Garcha),Low,Winter,Peshawar Central Mandi,167,19.8,23.6,272.5,196,21,4,Medium,204.0
Bitter Gourd (Karela),High,Summer,Islamabad Sabzi Mandi,87,36.7,23.1,278.0,187,92,4,High,128.47
Drumstick (Sohanjna),Medium,Spring,Peshawar Central Mandi,150,28.7,14.8,278.0,377,39,1,Low,171.95
Tomato,High,Winter,Lahore Badami Bagh,75,12.8,15.1,272.5,213,109,4,Low,87.26
Onion,Low,Summer,Hyderabad New Mandi,78,41.7,23.0,272.5,46,5,4,Medium,95.31
Rambutan (Imported),High,Winter,Faisalabad Grain Market,1511,9.3,13.5,305.0,238,92,5,Low,1526.36
Mango (Chaunsa),High,Monsoon,Gujranwala Fruit Market,254,36.5,109.1,284.5,62,72,2,High,346.7
Lychee,High,Summer,Faisalabad Grain Market,457,43.9,16.6,278.0,233,105,2,Medium,539.13
Mango (Dusehri),High,Summer,Sukkur Grain Market,212,44.1,15.5,278.0,176,58,5,Medium,254.37
Tomato,High,Spring,Peshawar Central Mandi,141,26.0,17.0,305.0,307,70,1,Low,160.57
Tomato,High,Winter,Gujranwala Fruit Market,77,7.4,11.3,278.0,299,95,3,Low,94.46
Kiwi (Imported),Medium,Monsoon,Rawalpindi Raja Bazar,992,36.0,113.0,284.5,473,12,1,Medium,1169.18
Banana (Dhaka),High,Spring,Karachi Sabzi Mandi,222,20.5,13.7,305.0,1011,63,4,Medium,319.82
Dates (Rabai),Low,Summer,Peshawar Central Mandi,272,37.8,19.6,292.0,641,5,4,Medium,354.79
Rambutan (Imported),High,Spring,Quetta Satellite Town Mandi,1642,29.7,15.6,278.0,797,89,4,Medium,1934.66
Wood Apple (Bael),Low,Spring,Peshawar Central Mandi,232,28.0,19.9,272.5,660,70,3,Medium,304.46
Sweet Lime (Malta),Medium,Monsoon,Rawalpindi Raja Bazar,207,27.3,95.7,272.5,419,34,4,Medium,262.35
Potato,Low,Summer,Faisalabad Grain Market,50,41.6,30.3,305.0,73,92,2,Medium,62.24
Carrot,Medium,Monsoon,Islamabad Sabzi Mandi,102,26.9,59.3,272.5,235,37,3,Medium,131.0
Tomato,High,Summer,Gujranwala Fruit Market,103,43.8,14.8,292.0,161,6,4,Medium,130.82
Apple (Golden),Low,Winter,Quetta Satellite Town Mandi,165,18.4,12.9,292.0,751,108,5,Medium,235.64
Lettuce,High,Winter,Karachi Sabzi Mandi,133,2.0,17.5,292.0,975,30,3,Medium,212.7
